mot,score_brut,score_positivite
bigleux,-1.2,0.0
bijou,1.5,0.375
bijoux,2.0,0.5
bisou,1.8,0.45
bite,-0.6,0.0
bites,-0.6,0.0
bizarre,-0.3,0.0
bizarrement,-1.3,0.0
bizarrerie,0.6,0.15
bizarreries,0.1,0.025
bizarres,-0.2,0.0
blabla,-0.4,0.0
blaguant,0.9,0.225
blague,1.3,0.325
blaguent,1.0,0.25
blagues,1.3,0.325
blagueur,0.2,0.05
blagueuse,0.5,0.125
blagueuses,0.5,0.125
blaguez,1.0,0.25
blaguee,1.3,0.325
blaguees,1.3,0.325
blaireau,-1.4,0.0
blase,-1.6,0.0
blasee,-1.6,0.0
blasees,-1.6,0.0
blases,-1.6,0.0
blessant,-1.2,0.0
blessante,-1.2,0.0
blessantes,-1.2,0.0
blessants,-1.2,0.0
blesse,-2.1,0.0
blessent,-2.1,0.0
blesser,-2.5,0.0
blesses,-2.1,0.0
blessez,-2.1,0.0
blessure,-2.5,0.0
blessee,-2.1,0.0
blessees,-2.1,0.0
bloc,-1.9,0.0
blocage,-1.4,0.0
blocages,-1.4,0.0
blockbuster,2.9,0.725
blocs,-0.9,0.0
bloquant,-1.6,0.0
bloque,-1.1,0.0
blamable,-1.8,0.0
boiteuse,-1.8,0.0
boiteuses,-1.8,0.0
boiteux,-1.8,0.0
bombe,-2.2,0.0
bon,1.6,0.4
bonbon,2.2,0.55
bonbons,2.2,0.55
bonheur,2.7,0.675
bonne,1.6,0.4
bonnes,1.6,0.4
bons,1.6,0.4
bonte,1.0,0.25
bontes,1.5,0.375
bonus,2.5,0.625
boost,1.7,0.425
boostant,1.4,0.35
boosts,1.3,0.325
booste,1.5,0.375
bordel,-0.6,0.0
bordels,-1.9,0.0
bordelique,-1.5,0.0
bordeliques,-1.5,0.0
borne,-1.2,0.0
bornee,-1.2,0.0
bornees,-1.2,0.0
bornes,-1.2,0.0
boreal,-0.3,0.0
boreale,-0.3,0.0
bouc emissaire,-1.7,0.0
boucs emissaires,-1.4,0.0
boude,-1.5,0.0
bouder,-1.5,0.0
boudes,-1.5,0.0
boudeur,-0.8,0.0
boudeurs,-0.8,0.0
boudeuse,-0.8,0.0
boudeuses,-0.8,0.0
boudez,-1.5,0.0
bouffon,0.5,0.125
bouffonne,0.5,0.125
bouffonnes,0.5,0.125
bouffons,0.5,0.125
bougeotte,-1.4,0.0
bouleversant,-0.8,0.0
bouleversante,-2.0,0.0
bouleversantes,-2.0,0.0
bouleversants,-2.0,0.0
bouleverse,-2.6,0.0
bouleversee,-2.6,0.0
bouleversees,-2.6,0.0
bouleverses,-2.6,0.0
boum,1.7,0.425
boums,1.7,0.425
bourreau des coeurs,-2.2,0.0
bourre,-0.5,0.0
bourree,-0.7,0.0
bourrees,-0.7,0.0
bourres,-0.7,0.0
bousille,-1.5,0.0
bousillent,-1.0,0.0
bousilles,-1.5,0.0
bousillez,-1.0,0.0
bousillons,-1.0,0.0
bousillee,-1.5,0.0
bousillees,-1.5,0.0
boycottant,-1.7,0.0
boycotte,-1.7,0.0
boycotter,-1.3,0.0
boycottes,-1.4,0.0
brainwashing,-1.5,0.0
braquage,-2.0,0.0
braquages,-2.0,0.0
braquer,-2.6,0.0
braqueur,-2.6,0.0
braqueuse,-2.6,0.0
braque,-0.7,0.0
braquee,-0.7,0.0
braquees,-0.7,0.0
braques,-0.7,0.0
brave,2.4,0.6
bravo,2.4,0.6
bravoure,2.2,0.55
brillamment,1.5,0.375
brillance,1.4,0.35
brillances,0.4,0.1
brillant,0.9,0.225
brillante,1.9,0.475
brillantes,2.3,0.575
brillants,2.9,0.725
brise,-1.1,0.0
brisee,-1.1,0.0
brisees,-2.1,0.0
brises,-2.1,0.0
brutal,-3.1,0.0
brutale,-2.7,0.0
brutalisant,-2.8,0.0
brutalisation,-2.1,0.0
brutalisations,-2.3,0.0
brutalise,-2.9,0.0
brutaliser,-2.7,0.0
brutalises,-3.2,0.0
brutalisee,-2.9,0.0
brutalite,-1.2,0.0
brutalites,-0.3,0.0
bruyant,-0.7,0.0
bruyante,-0.7,0.0
bruyantes,-0.7,0.0
bruyants,-0.7,0.0
bwahaha,0.4,0.1
bwahahah,2.5,0.625
bye,1.2,0.3
batard,-2.5,0.0
batardise,-1.8,0.0
batards,-3.0,0.0
beat,1.8,0.45
beate,1.8,0.45
begaie,-0.8,0.0
begaiement,-0.9,0.0
begaient,-0.8,0.0
begaies,-0.8,0.0
begaions,-0.8,0.0
begayant,-1.0,0.0
begayer,-0.9,0.0
begayeur,-1.1,0.0
begayeurs,-0.8,0.0
begayeuse,-1.1,0.0
begayeuses,-0.8,0.0
begayez,-0.8,0.0
begaye,-0.9,0.0
begayee,-0.9,0.0
begayees,-0.9,0.0
begayes,-0.9,0.0
begnine,1.3,0.325
begnines,1.3,0.325
beguin,-0.6,0.0
beguins,-0.6,0.0
beni,1.1,0.275
benie,2.9,0.725
benignement,0.2,0.05
benin,1.3,0.325
benins,1.3,0.325
benir,1.8,0.45
benis,2.2,0.55
benisseur,2.0,0.5
benisseuse,2.0,0.5
benediction,1.1,0.275
benedictions,2.5,0.625
benefice,0.4,0.1
beneficie,1.1,0.275
beneficiee,1.1,0.275
benefique,0.7,0.175
bete,-1.1,0.0
betes,-1.1,0.0
betise,-0.8,0.0
betises,-0.4,0.0
cachant,-1.2,0.0
cache,-0.4,0.0
cachent,-0.7,0.0
cacher,-0.7,0.0
caches,-0.4,0.0
cachez,-0.7,0.0
cachons,-0.7,0.0
cachee,-0.4,0.0
cachees,-0.4,0.0
cadavre,-2.7,0.0
cadeau,1.9,0.475
cagues,-0.4,0.0
calmant,0.6,0.15
calmants,0.5,0.125
calme,1.6,0.4
calmement,0.7,0.175
calmes,0.7,0.175
calmee,1.6,0.4
calomnieuse,-2.1,0.0
calomnieuses,-2.1,0.0
calomnieux,-2.1,0.0
cambriolage,-2.0,0.0
cambriolages,-2.0,0.0
cambrioler,-2.6,0.0
cambrioleur,-2.6,0.0
cambrioleuse,-2.6,0.0
cambriole,-0.7,0.0
cambriolee,-0.7,0.0
cambriolees,-0.7,0.0
cambrioles,-0.7,0.0
cancans,-0.7,0.0
cancer,-3.4,0.0
candide,-1.5,0.0
candides,-1.5,0.0
canon,1.5,0.375
canular,-1.1,0.0
capable,1.6,0.4
capacite,1.3,0.325
capacites,1.0,0.25
caprice,-1.8,0.0
caprices,-1.5,0.0
captiver,0.4,0.1
captive,1.6,0.4
captivee,1.6,0.4
capucine,0.4,0.1
capucines,0.1,0.025
carambolage,-1.1,0.0
casse-cou,0.5,0.125
casseur,-1.5,0.0
casseurs,-1.1,0.0
casseuse,-1.1,0.0
casseuses,-1.1,0.0
casse,-2.1,0.0
cassee,-2.1,0.0
casual,0.8,0.2
catastrophe,-3.4,0.0
catastrophique,-2.2,0.0
catastrophiquement,-2.4,0.0
cauchemardesque,-3.2,0.0
cauchemardesques,-3.2,0.0
censeur,-2.0,0.0
censeurs,-1.2,0.0
censure,-0.6,0.0
censuree,-0.6,0.0
certain,0.4,0.1
certaine,0.7,0.175
certainement,1.4,0.35
certaines,0.7,0.175
certains,0.7,0.175
certitude,1.0,0.25
certitudes,0.9,0.225
chagrin,-1.1,0.0
chahut,-0.8,0.0
chahute,-2.0,0.0
chahutent,-2.0,0.0
chahuter,-1.8,0.0
chahutes,-2.0,0.0
chahuteur,-2.0,0.0
chahuteurs,-2.2,0.0
chahuteuse,-2.0,0.0
chahuteuses,-2.2,0.0
chahutez,-2.0,0.0
chahutons,-2.0,0.0
chahuts,-1.4,0.0
chaleur,2.0,0.5
chaleureuse,0.5,0.125
chaleureusement,0.8,0.2
chaleureuses,0.5,0.125
chaleureux,0.5,0.125
challenge,-0.4,0.0
challenger,0.5,0.125
challengers,0.4,0.1
challenges,0.3,0.075
challengeur,0.5,0.125
challengeurs,0.4,0.1
challengee,-0.4,0.0
chambart,-1.5,0.0
chambarts,-1.4,0.0
champagne,1.2,0.3
champagnes,0.5,0.125
champignon,0.4,0.1
champignons,0.2,0.05
champion,2.9,0.725
championnat,1.9,0.475
championnats,2.2,0.55
champions,0.9,0.225
chance,0.3,0.075
chances,0.8,0.2
chanceuse,1.9,0.475
chanceusement,1.0,0.25
chanceuses,1.9,0.475
chanceux,1.9,0.475
chantier,-1.5,0.0
chaos,-2.7,0.0
chaotique,-2.2,0.0
charges,-1.1,0.0
charge,-0.8,0.0
chargee,-0.8,0.0
charitable,1.7,0.425
charitablement,1.4,0.35
charite,1.9,0.475
charites,0.8,0.2
charlatan,-2.8,0.0
charlatans,-2.8,0.0
charmant,2.8,0.7
charme,2.0,0.5
charmes,0.9,0.225
charmeur,1.9,0.475
charmeurs,2.1,0.525
charmeuse,1.9,0.475
charmeuses,2.1,0.525
charmee,2.0,0.5
chatte,-3.4,0.0
chef-d'oeuvre,3.1,0.775
chefs-d'oeuvres,2.5,0.625
cher,1.6,0.4
chers,1.6,0.4
cherte,2.0,0.5
chertes,2.0,0.5
chevalet,0.3,0.075
chez,0.0,0.0
chiant,-1.8,0.0
chiante,-1.8,0.0
chiantes,-1.8,0.0
chiants,-1.8,0.0
chic,0.6,0.15
chics,1.2,0.3
chie,-1.7,0.0
chient,-2.1,0.0
chier,-2.6,0.0
chies,-1.7,0.0
chiez,-2.1,0.0
chions,-2.1,0.0
chiee,-1.7,0.0
chiees,-1.7,0.0
choc,-1.6,0.0
choquable,-1.0,0.0
choquant,-0.8,0.0
choquante,-0.8,0.0
choquantes,-0.8,0.0
choquants,-0.8,0.0
choque,-1.3,0.0
choquent,-1.6,0.0
choquer,-1.6,0.0
choques,-1.3,0.0
choquez,-1.6,0.0
choquons,-1.6,0.0
choquee,-1.3,0.0
choquees,-1.3,0.0
chouette,1.7,0.425
chouine,-1.8,0.0
chouinent,-1.8,0.0
chouiner,-1.5,0.0
chouines,-1.8,0.0
chouineur,-1.2,0.0
chouineurs,-0.6,0.0
chouineuse,-1.2,0.0
chouineuses,-0.6,0.0
chouinez,-1.8,0.0
chouinons,-1.8,0.0
chatier,-2.5,0.0
chatiment,-2.2,0.0
chatiments,-0.8,0.0
chatie,-2.2,0.0
chatiee,-2.2,0.0
chere,1.6,0.4
cherement,1.8,0.45
cheres,1.6,0.4
cheri,0.2,0.05
cherie,0.2,0.05
cheries,0.5,0.125
cherir,0.6,0.15
cheris,0.3,0.075
cherissable,2.0,0.5
cherissant,2.0,0.5
cherissent,1.8,0.45
cherisseur,2.2,0.55
cherisseurs,2.2,0.55
cherisseuse,2.2,0.55
cherisseuses,2.2,0.55
cherissez,1.8,0.45
cherissons,1.8,0.45
cherit,1.8,0.45
chomage,-1.9,0.0
cimetiere,-1.2,0.0
cimetieres,-1.2,0.0
cingle,-2.4,0.0
cinglee,-2.4,0.0
cinglees,-2.4,0.0
cingles,-2.4,0.0
clair,1.6,0.4
claire,1.6,0.4
clairement,1.7,0.425
clandestin,-1.6,0.0
claquer,-1.6,0.0
clarifie,0.9,0.225
clarifies,0.9,0.225
clarte,1.7,0.425
clown,0.5,0.125
clemence,1.5,0.375
clement,0.6,0.15
clemente,1.8,0.45
clementes,1.8,0.45
clements,1.8,0.45
cochonne,-2.2,0.0
cochonnerie,-1.0,0.0
coche,-1.8,0.0
cochee,-1.8,0.0
cochees,-1.8,0.0
coches,-1.8,0.0
coffre-fort,0.7,0.175
coffres-forts,0.3,0.075
coince,-1.0,0.0
coincee,-1.0,0.0
coincees,-1.0,0.0
coinces,-1.0,0.0
collision,-1.5,0.0
collisions,-1.1,0.0
colporteur,-0.9,0.0
colporteurs,-0.9,0.0
colporteuse,-0.9,0.0
colporteuses,-0.9,0.0
colza,-0.5,0.0
colere,-2.7,0.0
coleres,-2.3,0.0
colereux,-2.3,0.0
combat,-0.7,0.0
combats,-0.4,0.0
combattant,-0.6,0.0
combattante,0.6,0.15
combattantes,-0.2,0.0
combattants,-0.2,0.0
comique,0.4,0.1
comiquement,2.3,0.575
comiques,0.6,0.15
commerages,-0.7,0.0
compassion,0.5,0.125
compatissant,1.1,0.275
compatissante,1.1,0.275
compatissantes,2.2,0.55
compatissants,2.2,0.55
complaisant,-0.3,0.0
complaisante,-0.3,0.0
compliment,2.1,0.525
complimentant,2.3,0.575
complimente,0.9,0.225
complimentent,2.4,0.6
complimenter,2.2,0.55
complimentes,0.9,0.225
complimentez,2.4,0.6
complimentons,2.4,0.6
complimentee,0.9,0.225
complimentees,0.9,0.225
complique,-0.6,0.0
compliquee,-0.6,0.0
compliquees,-0.6,0.0
compliques,-0.6,0.0
completement,-0.5,0.0
competent,1.3,0.325
competente,1.3,0.325
competentes,1.3,0.325
competents,1.3,0.325
competitif,0.7,0.175
competitive,0.7,0.175
comedie,1.5,0.375
comedien,1.6,0.4
comedienne,1.6,0.4
comediennes,0.6,0.15
comediens,0.6,0.15
comedies,1.7,0.425
comedon,0.3,0.075
comedons,-0.8,0.0
con,-1.3,0.0
concentre,1.6,0.4
concentree,1.6,0.4
concentrees,1.6,0.4
concentres,1.6,0.4
concerner,2.2,0.55
concerne,1.8,0.45
concernee,1.8,0.45
conciliant,1.3,0.325
conciliateur,1.0,0.25
conciliateurs,0.8,0.2
conciliatrice,1.0,0.25
conciliatrices,0.8,0.2
concilie,1.1,0.275
concilier,1.0,0.25
concilies,1.1,0.275
conciliee,1.1,0.275
condamnation,-1.4,0.0
condamnations,0.2,0.05
condamne,-0.1,0.0
condamnent,0.2,0.05
condamner,-0.8,0.0
condamnes,-0.1,0.0
condamnez,0.2,0.05
condamnons,0.2,0.05
condamnee,-0.1,0.0
condamnees,-0.1,0.0
confiance,1.1,0.275
confiant,0.7,0.175
confiante,0.7,0.175
confiantes,1.1,0.275
confiants,1.1,0.275
confie,0.4,0.1
confient,2.1,0.525
confier,2.3,0.575
confies,0.4,0.1
confiez,2.1,0.525
confions,2.1,0.525
confiee,0.4,0.1
confiees,0.4,0.1
conflit,-1.3,0.0
conflits,-1.6,0.0
confondable,-0.8,0.0
confondables,-0.8,0.0
confort,1.5,0.375
confortable,2.3,0.575
confortablement,1.8,0.45
conforter,1.5,0.375
conforte,1.8,0.45
confortee,1.8,0.45
confortees,1.8,0.45
confortes,1.8,0.45
confrontation,-1.3,0.0
confrontations,-1.5,0.0
confronter,-0.7,0.0
confronte,-0.8,0.0
confrontee,-0.8,0.0
confrontees,-0.8,0.0
confrontes,-0.8,0.0
confus,-0.2,0.0
confuse,-0.2,0.0
confuses,-0.2,0.0
confusion,-0.1,0.0
confusions,-0.9,0.0
confusement,-0.6,0.0
confere,0.6,0.15
conferee,0.6,0.15
conferees,0.6,0.15
conferes,0.6,0.15
congelez,-0.1,0.0
congele,-0.1,0.0
congeles,-0.1,0.0
conge,1.7,0.425
congelateurs,-0.1,0.0
congelos,-0.1,0.0
conges,1.7,0.425
connard,-2.6,0.0
connards,-2.7,0.0
connasse,-2.6,0.0
connasses,-2.7,0.0
conne,-2.2,0.0
connerie,-0.8,0.0
conneries,-2.8,0.0
connes,-1.3,0.0
conquis,-1.5,0.0
conquise,-1.5,0.0
cons,-1.3,0.0
consacre,2.0,0.5
consacree,2.0,0.5
consacrees,2.0,0.5
consacres,2.0,0.5
consens,1.0,0.25
consent,1.0,0.25
consentir,0.9,0.225
conserve,0.1,0.025
consolable,1.1,0.275
consolant,1.7,0.425
consolateur,1.9,0.475
consolateurs,1.2,0.3
consolatrice,1.9,0.475
consolatrices,1.2,0.3
console,0.8,0.2
consoler,1.7,0.425
consoles,0.8,0.2
conspiration,-2.4,0.0
consterne,-1.9,0.0
consternee,-1.9,0.0
consternees,-1.9,0.0
consternes,-1.9,0.0
contagieuses,-0.7,0.0
contagieux,-1.4,0.0
contagion,-2.0,0.0
contagions,-1.5,0.0
contaminateur,-1.8,0.0
contaminateurs,-2.0,0.0
contaminatrice,-1.8,0.0
contaminatrices,-2.0,0.0
contamine,-2.0,0.0
contaminent,-2.2,0.0
contaminer,-2.3,0.0
contamines,-2.0,0.0
contaminez,-2.2,0.0
contaminons,-2.2,0.0
contaminee,-2.0,0.0
contaminees,-2.0,0.0
contente,2.7,0.675
contentement,0.8,0.2
contentes,2.7,0.675
contentieux,-0.8,0.0
contents,1.4,0.35
contestable,0.6,0.15
contradiction,-1.0,0.0
contradictions,-1.3,0.0
contradictoire,-1.3,0.0
contradictoires,-1.3,0.0
contraignant,0.9,0.225
contraint,-0.2,0.0
contrainte,-1.5,0.0
contraintes,-1.5,0.0
contraints,-1.5,0.0
contrariant,-0.9,0.0
contrariante,-1.9,0.0
contrariantes,-1.9,0.0
contrariants,-1.9,0.0
contrarie,-0.5,0.0
contrarient,-1.4,0.0
contrarier,-1.0,0.0
contraries,-0.9,0.0
contrariez,-1.4,0.0
contrarions,-1.4,0.0
contrariee,-0.9,0.0
contrariees,-0.9,0.0
contrebande,-1.6,0.0
contrebandier,-2.1,0.0
contrebandiers,-1.4,0.0
contrebandiere,-2.1,0.0
contrebandieres,-1.4,0.0
contrecarre,-0.1,0.0
contrecarrent,-0.4,0.0
contrecarrer,-0.1,0.0
contrecarres,-0.1,0.0
contrecarrez,-0.4,0.0
contrecarrons,-0.4,0.0
contrecarree,-0.1,0.0
contrecarrees,-0.1,0.0
contredire,-1.3,0.0
contredis,-1.4,0.0
contredisant,-1.7,0.0
contredit,-0.7,0.0
contredite,-1.3,0.0
contredites,-1.3,0.0
contredits,-1.3,0.0
contrevenant,-1.5,0.0
contrevenante,-1.5,0.0
contrevenantes,-1.5,0.0
contrevenants,-1.5,0.0
controverse,-0.8,0.0
controversee,-0.8,0.0
controversees,-0.8,0.0
controverses,-0.8,0.0
convainc,0.7,0.175
convaincre,1.0,0.25
convaincs,0.7,0.175
convaincu,1.7,0.425
convaincue,1.7,0.425
convaincues,1.7,0.425
convaincus,1.7,0.425
convainquant,1.7,0.425
convenable,0.5,0.125
convenables,1.6,0.4
convenu,1.1,0.275
convivial,1.2,0.3
cool,0.6,0.15
cools,1.1,0.275
coriace,-0.5,0.0
coriaces,-0.5,0.0
corpulent,0.7,0.175
corpulente,0.7,0.175
corpulentes,0.7,0.175
corpulents,0.7,0.175
corrompre,-2.3,0.0
corrompu,-1.0,0.0
corrompue,-1.0,0.0
corrompues,-1.0,0.0
corrompus,-1.0,0.0
coupable,-1.8,0.0
coupables,-1.8,0.0
coupant,-0.5,0.0
coupe,-1.2,0.0
couper,-1.1,0.0
coupes,-1.2,0.0
courage,1.1,0.275
courageuse,2.4,0.6
courageusement,2.3,0.575
courageuses,2.4,0.6
courageux,2.4,0.6
courrouccee,-2.7,0.0
courrouce,-2.7,0.0
courroucees,-2.7,0.0
courrouces,-2.7,0.0
courtaud,-1.7,0.0
courtiser,2.1,0.525
courtois,2.3,0.575
courtoise,2.3,0.575
courtoises,2.3,0.575
courtoisie,1.5,0.375
couverts,-0.6,0.0
couteuse,-0.4,0.0
couteuses,-0.4,0.0
couteux,-0.4,0.0
crack,-1.2,0.0
crade,-2.6,0.0
crades,-2.6,0.0
crado,-2.6,0.0
crados,-2.6,0.0
craint,-2.2,0.0
crainte,-1.0,0.0
craintes,-0.7,0.0
craintif,-0.1,0.0
craintifs,-0.1,0.0
craintive,-0.1,0.0
craintivement,-0.1,0.0
craintives,-0.1,0.0
craints,-2.2,0.0
crampe,-0.8,0.0
crampes,-0.8,0.0
cran,-0.4,0.0
crash,-1.7,0.0
crasse,-1.2,0.0
crasses,-1.2,0.0
crasseuse,-1.8,0.0
crasseuses,-1.8,0.0
crasseux,-1.8,0.0
crassee,-1.2,0.0
crassees,-1.2,0.0
crevette,-1.4,0.0
crevettes,-0.5,0.0
cri,-1.7,0.0
criardes,-1.5,0.0
criards,-1.5,0.0
crie,-1.3,0.0
crient,-1.2,0.0
crier,-0.8,0.0
cries,-1.3,0.0
crieurs,-1.5,0.0
crieuses,-1.5,0.0
criez,-1.2,0.0
crime,-1.2,0.0
crimes,-2.5,0.0
criminel,-1.1,0.0
criminelle,-2.2,0.0
criminelles,-1.0,0.0
criminels,-0.5,0.0
crions,-1.2,0.0
cris,-1.6,0.0
crise,-3.1,0.0
criser,-1.8,0.0
crispe,-1.0,0.0
crispee,-1.0,0.0
crispees,-1.0,0.0
crispes,-1.0,0.0
critiquable,-1.0,0.0
critiquables,-1.0,0.0
critiquant,-1.7,0.0
critique,-1.8,0.0
critiquer,-0.6,0.0
critiques,-1.8,0.0
critiqueur,-0.8,0.0
critiqueurs,-0.8,0.0
critiqueuse,-0.8,0.0
critiqueuses,-0.8,0.0
critiquee,-1.8,0.0
critiquees,-1.8,0.0
criee,-1.3,0.0
criees,-1.3,0.0
croire,2.3,0.575
croissance,1.6,0.4
croyant,1.0,0.25
croyante,1.0,0.25
croyantes,0.9,0.225
croyants,0.9,0.225
cruaute,-1.1,0.0
cruautes,-1.1,0.0
cruche,-1.0,0.0
cruches,-1.0,0.0
cruel,-2.8,0.0
cruelle,-2.8,0.0
cruellement,-2.8,0.0
cruelles,-2.8,0.0
cruels,-2.8,0.0
crush,-0.6,0.0
creancier,-0.1,0.0
creanciere,-0.1,0.0
creatif,1.9,0.475
creatifs,1.9,0.475
creatine,0.1,0.025
creatines,0.1,0.025
creation,1.1,0.275
creationnisme,0.7,0.175
creationnismes,1.1,0.275
creationniste,0.8,0.2
creationnistes,0.8,0.2
creations,0.6,0.15
creative,1.9,0.475
creativement,1.5,0.375
creatives,1.9,0.475
creativite,1.8,0.45
creativites,1.7,0.425
credits,1.5,0.375
credite,1.5,0.375
credule,-1.5,0.0
credules,-1.5,0.0
credulite,-1.6,0.0
cree,1.0,0.25
creent,1.1,0.275
creer,1.1,0.275
crees,1.0,0.25
cretin,-0.8,0.0
cretine,-0.8,0.0
cretines,-0.8,0.0
cretins,-0.8,0.0
creee,1.0,0.25
creees,1.0,0.25
cuirasse,-0.1,0.0
cuirasses,-0.2,0.0
cul,-2.5,0.0
culot,-0.4,0.0
culpabilite,-1.1,0.0
culpabilites,-1.4,0.0
cultivant,2.0,0.5
cultive,1.9,0.475
cultivent,1.9,0.475
cultiver,1.4,0.35
cultives,1.9,0.475
cultivez,1.9,0.475
cultivons,1.9,0.475
cultivee,1.9,0.475
cultivees,1.9,0.475
curieuse,1.3,0.325
curieuses,1.3,0.325
curieux,1.3,0.325
cynique,-1.4,0.0
cyniquement,-1.3,0.0
cyniques,-1.4,0.0
cynisme,-0.7,0.0
cynismes,-1.7,0.0
cyprinodonte,-0.1,0.0
cyprinodontes,-0.1,0.0
calin,2.1,0.525
calinable,1.6,0.4
calinables,1.6,0.4
caline,1.7,0.425
calinent,2.2,0.55
caliner,2.1,0.525
calines,1.7,0.425
calinez,2.2,0.55
calins,2.2,0.55
calinee,1.7,0.425
calinees,1.7,0.425
celeste,3.0,0.75
celestes,3.0,0.75
celebre,2.7,0.675
celebres,2.7,0.675
celebrer,2.7,0.675
celebrite,1.9,0.475
celebree,2.7,0.675
d'accord,1.1,0.275
d-:,1.6,0.4
d:,1.2,0.3
d=,1.5,0.375
damnation,-2.6,0.0
damnations,-1.4,0.0
damnatoire,-2.6,0.0
damnatoires,-2.6,0.0
damne,-1.6,0.0
damnee,-1.6,0.0
damnees,-1.6,0.0
damnes,-1.6,0.0
danger,-2.4,0.0
dangereuse,-2.1,0.0
dangereusement,-2.0,0.0
dangereuses,-2.1,0.0
dangereux,-2.1,0.0
dangerosite,-2.0,0.0
dangers,-2.2,0.0
demandeur,-0.7,0.0
demandeurs,-1.1,0.0
demeurer,0.5,0.125
demeure,0.4,0.1
demeuree,0.4,0.1
demeurees,0.4,0.1
demeures,0.4,0.1
demi-portion,-1.3,0.0
demi-portions,-1.4,0.0
deshonore,-2.0,0.0
deshonoree,-2.0,0.0
deshonorees,-2.0,0.0
deshonores,-2.0,0.0
destructeur,-1.0,0.0
destructeurs,-2.0,0.0
destructible,-1.5,0.0
destructibles,-1.5,0.0
destruction,-2.7,0.0
destructions,-2.3,0.0
destructivement,-2.4,0.0
destructrice,-1.0,0.0
destructrices,-2.0,0.0
dette,-0.4,0.0
dettes,-0.8,0.0
deuil,-0.6,0.0
deuils,-2.1,0.0
diable,-3.4,0.0
diablerie,-0.9,0.0
diableries,-0.8,0.0
diables,-1.4,0.0
diabolique,-2.1,0.0
diaboliquement,-0.8,0.0
diamant,1.4,0.35
dieu,1.1,0.275
diffamatoire,-2.1,0.0
diffamatoires,-2.1,0.0
difficile,-1.5,0.0
difficilement,-0.7,0.0
difficiles,-1.5,0.0
difficulte,-1.4,0.0
difficultes,-0.6,0.0
differer,-1.2,0.0
digne,0.5,0.125
dignes,0.5,0.125
dignite,1.7,0.425
dignites,1.4,0.35
dilemme,-0.7,0.0
diminution,-1.0,0.0
dingue,-1.7,0.0
dingues,-1.7,0.0
direct,0.9,0.225
directe,0.9,0.225
directes,0.9,0.225
directif,-1.1,0.0
directifs,-1.1,0.0
directive,-1.1,0.0
directives,-1.1,0.0
directs,0.9,0.225
discorde,-1.7,0.0
discredite,-1.9,0.0
discreditee,-1.9,0.0
discreditees,-1.9,0.0
discredites,-1.9,0.0
discretion,-0.3,0.0
disculper,1.8,0.45
discutable,-1.0,0.0
discutablement,-1.0,0.0
discutant,-2.0,0.0
discute,-1.5,0.0
discutes,-0.7,0.0
discuteur,-1.6,0.0
discuteurs,-1.4,0.0
discuteuse,-1.6,0.0
discuteuses,-1.4,0.0
discutee,-1.5,0.0
disgrace,-2.2,0.0
disparais,-1.4,0.0
disparait,-1.4,0.0
disparaitre,-0.9,0.0
disparu,-0.9,0.0
disparue,-0.9,0.0
disparues,-0.9,0.0
disparus,-0.9,0.0
dispute,-0.5,0.0
disputes,-0.8,0.0
disqualifie,-1.8,0.0
disqualifiee,-1.8,0.0
disqualifiees,-1.8,0.0
disqualifies,-1.8,0.0
dissimulation,-1.2,0.0
dissuader,-1.8,0.0
distraction,-1.6,0.0
distractions,-1.0,0.0
distraire,-1.2,0.0
distrais,-1.3,0.0
distrait,-0.4,0.0
distraite,-1.4,0.0
distraites,-1.4,0.0
distraits,-0.6,0.0
distrayant,-1.2,0.0
distrayez,-1.3,0.0
diverti,1.7,0.425
divertie,1.7,0.425
diverties,1.7,0.425
divertir,1.3,0.325
divertis,0.8,0.2
divertissant,1.9,0.475
divertissante,1.9,0.475
divertissement,1.8,0.45
divertissements,2.3,0.575
divertisseur,1.6,0.4
divertisseurs,1.6,0.4
divertisseuses,0.8,0.2
divertissez,2.4,0.6
divertissons,2.4,0.6
divertit,2.4,0.6
divin,2.6,0.65
divination,1.7,0.425
divinations,1.1,0.275
divinatoire,1.6,0.4
divine,2.6,0.65
divinement,2.9,0.725
divines,2.6,0.65
divinites,0.9,0.225
divins,2.6,0.65
dietetique,1.7,0.425
dietetiques,1.7,0.425
doleance,-2.1,0.0
doleances,-1.5,0.0
domicile,0.1,0.025
domiciles,0.1,0.025
dominants,0.2,0.05
dominateur,-0.4,0.0
dominateurs,-0.4,0.0
domination,-0.1,0.0
dominations,-0.1,0.0
dominatrice,-0.1,0.0
dominatrices,-0.1,0.0
domine,0.2,0.05
dominer,-0.5,0.0
domines,0.2,0.05
dominez,0.2,0.05
dominons,0.2,0.05
dommage,-2.2,0.0
dommages,-2.2,0.0
donneur,1.4,0.35
donneurs,1.7,0.425
donneuse,1.4,0.35
donneuses,1.7,0.425
douce,2.2,0.55
douces,2.2,0.55
douleur,-0.5,0.0
douleurs,-1.0,0.0
douloureuse,-0.9,0.0
douloureusement,-2.4,0.0
douloureuses,-0.9,0.0
douloureux,-0.9,0.0
doutable,-1.5,0.0
doutant,-1.4,0.0
doute,-1.1,0.0
doutes,-1.1,0.0
douteur,-1.6,0.0
douteurs,-1.3,0.0
douteuse,-0.8,0.0
douteusement,-1.2,0.0
douteuses,-0.7,0.0
douteux,-1.5,0.0
doutee,-1.1,0.0
doutees,-1.1,0.0
